series_name,brand_name,factory,series_id,brand_id,guide_price,series_url
奥迪S8,奥迪,奥迪(进口),2739,33,198.80-198.80万,http://www.autohome.com.cn/2739/#levelsource=000000000_0&pvareaid=101594
奥迪Q5(进口),奥迪,奥迪(进口),593,33,58.80-61.80万,http://www.autohome.com.cn/593/#levelsource=000000000_0&pvareaid=101594
奥迪SQ5,奥迪,奥迪(进口),2841,33,66.80-66.80万,http://www.autohome.com.cn/2841/#levelsource=000000000_0&pvareaid=101594
奥迪Q7,奥迪,奥迪(进口),412,33,75.38-104.88万,http://www.autohome.com.cn/412/#levelsource=000000000_0&pvareaid=101594
奥迪TT,奥迪,奥迪(进口),148,33,51.98-58.68万,http://www.autohome.com.cn/148/#levelsource=000000000_0&pvareaid=101594
奥迪TTS,奥迪,奥迪(进口),2740,33,65.88-69.88万,http://www.autohome.com.cn/2740/#levelsource=000000000_0&pvareaid=101594
奥迪R8,奥迪,奥迪(进口),511,33,215.80-253.80万,http://www.autohome.com.cn/511/#levelsource=000000000_0&pvareaid=101594
奥迪A2,奥迪,奥迪(进口),2415,33,图库,http://www.autohome.com.cn/2415/#levelsource=000000000_0&pvareaid=101594
奥迪S1,奥迪,奥迪(进口),3276,33,图库,http://www.autohome.com.cn/3276/#levelsource=000000000_0&pvareaid=101594
奥迪e-tron,奥迪,奥迪(进口),926,33,图库,http://www.autohome.com.cn/926/#levelsource=000000000_0&pvareaid=101594
奥迪S4,奥迪,奥迪(进口),2732,33,图库,http://www.autohome.com.cn/2732/#levelsource=000000000_0&pvareaid=101594
Prologue,奥迪,奥迪(进口),3669,33,图库,http://www.autohome.com.cn/3669/#levelsource=000000000_0&pvareaid=101594
allroad,奥迪,奥迪(进口),3350,33,图库,http://www.autohome.com.cn/3350/#levelsource=000000000_0&pvareaid=101594
Crosslane Coupe,奥迪,奥迪(进口),2908,33,图库,http://www.autohome.com.cn/2908/#levelsource=000000000_0&pvareaid=101594
奥迪Q2,奥迪,奥迪(进口),3287,33,图库,http://www.autohome.com.cn/3287/#levelsource=000000000_0&pvareaid=101594
奥迪Q3(进口),奥迪,奥迪(进口),2264,33,图库,http://www.autohome.com.cn/2264/#levelsource=000000000_0&pvareaid=101594
奥迪TT offroad,奥迪,奥迪(进口),3479,33,图库,http://www.autohome.com.cn/3479/#levelsource=000000000_0&pvareaid=101594
e-tron quattro,奥迪,奥迪(进口),3894,33,图库,http://www.autohome.com.cn/3894/#levelsource=000000000_0&pvareaid=101594
h-tron quattro,奥迪,奥迪(进口),4003,33,图库,http://www.autohome.com.cn/4003/#levelsource=000000000_0&pvareaid=101594
奥迪Q8,奥迪,奥迪(进口),4288,33,图库,http://www.autohome.com.cn/4288/#levelsource=000000000_0&pvareaid=101594
奥迪SQ7,奥迪,奥迪(进口),3822,33,图库,http://www.autohome.com.cn/3822/#levelsource=000000000_0&pvareaid=101594
Nanuk,奥迪,奥迪(进口),3210,33,图库,http://www.autohome.com.cn/3210/#levelsource=000000000_0&pvareaid=101594
quattro,奥迪,奥迪(进口),2218,33,图库,http://www.autohome.com.cn/2218/#levelsource=000000000_0&pvareaid=101594
奥迪R18,奥迪,奥迪(进口),2832,33,图库,http://www.autohome.com.cn/2832/#levelsource=000000000_0&pvareaid=101594
奥迪Urban,奥迪,奥迪(进口),2403,33,图库,http://www.autohome.com.cn/2403/#levelsource=000000000_0&pvareaid=101594
奥迪100,奥迪,奥迪(进口),3680,33,图库,http://www.autohome.com.cn/3680/#levelsource=000000000_0&pvareaid=101594
奥迪Cross,奥迪,奥迪(进口),787,33,图库,http://www.autohome.com.cn/787/#levelsource=000000000_0&pvareaid=101594
奥迪RS 6,奥迪,奥迪RS,2737,33,159.80-159.80万,http://www.autohome.com.cn/2737/#levelsource=000000000_0&pvareaid=101594
奥迪RS 7,奥迪,奥迪RS,2994,33,169.88-189.80万,http://www.autohome.com.cn/2994/#levelsource=000000000_0&pvareaid=101594
奥迪RS 3,奥迪,奥迪RS,2731,33,图库,http://www.autohome.com.cn/2731/#levelsource=000000000_0&pvareaid=101594
奥迪RS 4,奥迪,奥迪RS,2733,33,图库,http://www.autohome.com.cn/2733/#levelsource=000000000_0&pvareaid=101594
奥迪RS 5,奥迪,奥迪RS,2735,33,图库,http://www.autohome.com.cn/2735/#levelsource=000000000_0&pvareaid=101594
奥迪RS Q3,奥迪,奥迪RS,2760,33,图库,http://www.autohome.com.cn/2760/#levelsource=000000000_0&pvareaid=101594
奥迪TT RS,奥迪,奥迪RS,2741,33,图库,http://www.autohome.com.cn/2741/#levelsource=000000000_0&pvareaid=101594
宝斯通,安凯客车,安凯客车,2745,221,28.80-35.00万,http://www.autohome.com.cn/2745/#levelsource=000000000_0&pvareaid=101594
Rapide,阿斯顿·马丁,阿斯顿·马丁,923,35,298.80-364.50万,http://www.autohome.com.cn/923/#levelsource=000000000_0&pvareaid=101594
拉共达Taraf,阿斯顿·马丁,阿斯顿·马丁,884,35,810.00-810.00万,http://www.autohome.com.cn/884/#levelsource=000000000_0&pvareaid=101594
V8 Vantage,阿斯顿·马丁,阿斯顿·马丁,385,35,198.80-218.80万,http://www.autohome.com.cn/385/#levelsource=000000000_0&pvareaid=101594
V12 Vantage,阿斯顿·马丁,阿斯顿·马丁,822,35,289.80-309.80万,http://www.autohome.com.cn/822/#levelsource=000000000_0&pvareaid=101594
阿斯顿·马丁DB9,阿斯顿·马丁,阿斯顿·马丁,266,35,341.80-388.80万,http://www.autohome.com.cn/266/#levelsource=000000000_0&pvareaid=101594
Vanquish,阿斯顿·马丁,阿斯顿·马丁,386,35,398.80-537.20万,http://www.autohome.com.cn/386/#levelsource=000000000_0&pvareaid=101594
阿斯顿·马丁DB11,阿斯顿·马丁,阿斯顿·马丁,3891,35,236.80-328.80万,http://www.autohome.com.cn/3891/#levelsource=000000000_0&pvareaid=101594
Cygnet,阿斯顿·马丁,阿斯顿·马丁,2075,35,图库,http://www.autohome.com.cn/2075/#levelsource=000000000_0&pvareaid=101594
Valkyrie,阿斯顿·马丁,阿斯顿·马丁,4159,35,图库,http://www.autohome.com.cn/4159/#levelsource=000000000_0&pvareaid=101594
Virage,阿斯顿·马丁,阿斯顿·马丁,2275,35,图库,http://www.autohome.com.cn/2275/#levelsource=000000000_0&pvareaid=101594
Vulcan,阿斯顿·马丁,阿斯顿·马丁,3730,35,图库,http://www.autohome.com.cn/3730/#levelsource=000000000_0&pvareaid=101594
阿斯顿·马丁DB10,阿斯顿·马丁,阿斯顿·马丁,3678,35,图库,http://www.autohome.com.cn/3678/#levelsource=000000000_0&pvareaid=101594
阿斯顿·马丁DB5,阿斯顿·马丁,阿斯顿·马丁,3004,35,图库,http://www.autohome.com.cn/3004/#levelsource=000000000_0&pvareaid=101594
阿斯顿·马丁DBX,阿斯顿·马丁,阿斯顿·马丁,3742,35,图库,http://www.autohome.com.cn/3742/#levelsource=000000000_0&pvareaid=101594
V12 Zagato,阿斯顿·马丁,阿斯顿·马丁,2846,35,报价,http://www.autohome.com.cn/2846/#levelsource=000000000_0&pvareaid=101594
阿斯顿·马丁DBS,阿斯顿·马丁,阿斯顿·马丁,582,35,报价,http://www.autohome.com.cn/582/#levelsource=000000000_0&pvareaid=101594
阿斯顿·马丁One-77,阿斯顿·马丁,阿斯顿·马丁,729,35,图库,http://www.autohome.com.cn/729/#levelsource=000000000_0&pvareaid=101594
AC Schnitzer X5,AC Schnitzer,AC Schnitzer,2097,117,110.00-110.00万,http://www.autohome.com.cn/2097/#levelsource=000000000_0&pvareaid=101594
AC Schnitzer 7系,AC Schnitzer,AC Schnitzer,2148,117,图库,http://www.autohome.com.cn/2148/#levelsource=000000000_0&pvareaid=101594
AC Schnitzer X6,AC Schnitzer,AC Schnitzer,2098,117,图库,http://www.autohome.com.cn/2098/#levelsource=000000000_0&pvareaid=101594
Giulia,阿尔法·罗密欧,阿尔法·罗密欧,3825,34,33.08-102.80万,http://www.autohome.com.cn/3825/#levelsource=000000000_0&pvareaid=101594
Stelvio,阿尔法·罗密欧,阿尔法·罗密欧,4196,34,41.80-47.80万,http://www.autohome.com.cn/4196/#levelsource=000000000_0&pvareaid=101594
MiTo,阿尔法·罗密欧,阿尔法·罗密欧,715,34,图库,http://www.autohome.com.cn/715/#levelsource=000000000_0&pvareaid=101594
Giulietta,阿尔法·罗密欧,阿尔法·罗密欧,1021,34,图库,http://www.autohome.com.cn/1021/#levelsource=000000000_0&pvareaid=101594
ALFA 4C,阿尔法·罗密欧,阿尔法·罗密欧,2288,34,图库,http://www.autohome.com.cn/2288/#levelsource=000000000_0&pvareaid=101594
Disco Volante,阿尔法·罗密欧,阿尔法·罗密欧,2715,34,图库,http://www.autohome.com.cn/2715/#levelsource=000000000_0&pvareaid=101594
Gloria,阿尔法·罗密欧,阿尔法·罗密欧,3030,34,图库,http://www.autohome.com.cn/3030/#levelsource=000000000_0&pvareaid=101594
ALFA 147,阿尔法·罗密欧,阿尔法·罗密欧,399,34,图库,http://www.autohome.com.cn/399/#levelsource=000000000_0&pvareaid=101594
ALFA 156,阿尔法·罗密欧,阿尔法·罗密欧,179,34,报价,http://www.autohome.com.cn/179/#levelsource=000000000_0&pvareaid=101594
ALFA 159,阿尔法·罗密欧,阿尔法·罗密欧,778,34,图库,http://www.autohome.com.cn/778/#levelsource=000000000_0&pvareaid=101594
ALFA 8C,阿尔法·罗密欧,阿尔法·罗密欧,781,34,图库,http://www.autohome.com.cn/781/#levelsource=000000000_0&pvareaid=101594
ALFA GT,阿尔法·罗密欧,阿尔法·罗密欧,401,34,报价,http://www.autohome.com.cn/401/#levelsource=000000000_0&pvareaid=101594
ALPINA B4,ALPINA,ALPINA,4212,276,109.80-109.80万,http://www.autohome.com.cn/4212/#levelsource=000000000_0&pvareaid=101594
Arash AF10,Arash,Arash,4034,251,图库,http://www.autohome.com.cn/4034/#levelsource=000000000_0&pvareaid=101594
ARCFOX-1,ARCFOX,北汽新能源,4109,272,图库,http://www.autohome.com.cn/4109/#levelsource=000000000_0&pvareaid=101594
ARCFOX-7,ARCFOX,北汽新能源,4106,272,图库,http://www.autohome.com.cn/4106/#levelsource=000000000_0&pvareaid=101594
艾康尼克七系,艾康尼克,艾康尼克ICONIQ Motors,4184,273,图库,http://www.autohome.com.cn/4184/#levelsource=000000000_0&pvareaid=101594
